ID	Gene Name	Species
100507470	GRID1 antisense RNA 1(GRID1-AS1)	Homo sapiens	
642976	GRIK1 antisense RNA 1(GRIK1-AS1)	Homo sapiens	
100379661	GRIK1 antisense RNA 2(GRIK1-AS2)	Homo sapiens	
100873989	GRM5 antisense RNA 1(GRM5-AS1)	Homo sapiens	
57000	GSN antisense RNA 1(GSN-AS1)	Homo sapiens	
729156	GTF2I repeat domain containing 1 pseudogene 1(GTF2IRD1P1)	Homo sapiens	
79804	HAND2 antisense RNA 1 (head to head)(HAND2-AS1)	Homo sapiens	
100874270	HAO2 intronic transcript 1(HAO2-IT1)	Homo sapiens	
646576	HHIP antisense RNA 1(HHIP-AS1)	Homo sapiens	
100750246	HIF1A antisense RNA 1(HIF1A-AS1)	Homo sapiens	
100750247	HIF1A antisense RNA 2(HIF1A-AS2)	Homo sapiens	
493812	HLA complex group 11 (non-protein coding)(HCG11)	Homo sapiens	
414760	HLA complex group 14 (non-protein coding)(HCG14)	Homo sapiens	
414778	HLA complex group 17 (non-protein coding)(HCG17)	Homo sapiens	
414777	HLA complex group 18 (non-protein coding)(HCG18)	Homo sapiens	
414764	HLA complex group 23 (non-protein coding)(HCG23)	Homo sapiens	
54435	HLA complex group 4 (non-protein coding)(HCG4)	Homo sapiens	
100873945	HLTF antisense RNA 1(HLTF-AS1)	Homo sapiens	
100873924	HLX antisense RNA 1(HLX-AS1)	Homo sapiens	
100288198	HMGN3 antisense RNA 1(HMGN3-AS1)	Homo sapiens	
100133311	HOXA cluster antisense RNA 3(HOXA-AS3)	Homo sapiens	
100316868	HOXA distal transcript antisense RNA(HOTTIP)	Homo sapiens	
100506311	HOXA transcript antisense RNA, myeloid-specific 1(HOTAIRM1)	Homo sapiens	
100874323	HOXA10 antisense RNA(HOXA10-AS)	Homo sapiens	
100534589	HOXA10-HOXA9 readthrough(HOXA10-HOXA9)	Homo sapiens	
221883	HOXA11 antisense RNA(HOXA11-AS)	Homo sapiens	
100506783	HOXD cluster antisense RNA 2(HOXD-AS2)	Homo sapiens	
100874343	HS1BP3 intronic transcript 1(HS1BP3-IT1)	Homo sapiens	
100528019	HSPB2-C11orf52 readthrough (NMD candidate)(HSPB2-C11orf52)	Homo sapiens	
100874082	HTR2A antisense RNA 1(HTR2A-AS1)	Homo sapiens	
100128264	HTR5A antisense RNA 1(HTR5A-AS1)	Homo sapiens	
93668	Helicobacter pylori responsive 1 (non-protein coding)(HPYR1)	Homo sapiens	
100507475	IDH1 antisense RNA 1(IDH1-AS1)	Homo sapiens	
55853	IDI2 antisense RNA 1(IDI2-AS1)	Homo sapiens	
100885789	IFNG antisense RNA 1(IFNG-AS1)	Homo sapiens	
255130	IGFBP7 antisense RNA 1(IGFBP7-AS1)	Homo sapiens	
100506765	IGSF11 antisense RNA 1(IGSF11-AS1)	Homo sapiens	
101928376	IL12A antisense RNA 1(IL12A-AS1)	Homo sapiens	
100996941	IL21 antisense RNA 1(IL21-AS1)	Homo sapiens	
283888	IL21R antisense RNA 1(IL21R-AS1)	Homo sapiens	
285954	INHBA antisense RNA 1(INHBA-AS1)	Homo sapiens	
100507398	INTS6 antisense RNA 1(INTS6-AS1)	Homo sapiens	
101180901	IPO11-LRRC70 readthrough(IPO11-LRRC70)	Homo sapiens	
100873949	IPO9 antisense RNA 1(IPO9-AS1)	Homo sapiens	
100506686	IQCH antisense RNA 1(IQCH-AS1)	Homo sapiens	
100505536	ISM1 antisense RNA 1(ISM1-AS1)	Homo sapiens	
101928153	ITGA9 antisense RNA 1(ITGA9-AS1)	Homo sapiens	
100506443	ITPKB intronic transcript 1(ITPKB-IT1)	Homo sapiens	
153469	JAKMIP2 antisense RNA 1(JAKMIP2-AS1)	Homo sapiens	
100128081	JAZF1 antisense RNA 1(JAZF1-AS1)	Homo sapiens	
84989	JMJD1C antisense RNA 1(JMJD1C-AS1)	Homo sapiens	
100874053	JRKL antisense RNA 1(JRKL-AS1)	Homo sapiens	
644246	KANSL1 antisense RNA 1(KANSL1-AS1)	Homo sapiens	
100874084	KCNAB1 antisense RNA 1(KCNAB1-AS1)	Homo sapiens	
100874083	KCNAB1 antisense RNA 2(KCNAB1-AS2)	Homo sapiens	
100289509	KCNIP2 antisense RNA 1(KCNIP2-AS1)	Homo sapiens	
359822	KCNIP4 intronic transcript 1(KCNIP4-IT1)	Homo sapiens	
400617	KCNJ2 antisense RNA 1 (head to head)(KCNJ2-AS1)	Homo sapiens	
100874251	KIRREL3 antisense RNA 2(KIRREL3-AS2)	Homo sapiens	
100216545	KMT2E antisense RNA 1 (head to head)(KMT2E-AS1)	Homo sapiens	
338651	KRTAP5-1/KRTAP5-2 antisense RNA 1(KRTAP5-AS1)	Homo sapiens	
100129075	KTN1 antisense RNA 1(KTN1-AS1)	Homo sapiens	
100506195	LARGE antisense RNA 1(LARGE-AS1)	Homo sapiens	
100885795	LARS2 antisense RNA 1(LARS2-AS1)	Homo sapiens	
641518	LEF1 antisense RNA 1(LEF1-AS1)	Homo sapiens	
284576	LEMD1 antisense RNA 1(LEMD1-AS1)	Homo sapiens	
100422556	LEO1 homolog, Paf1/RNA polymerase II complex component pseudogene(LOC100422556)	Homo sapiens	
100287902	LGALS8 antisense RNA 1(LGALS8-AS1)	Homo sapiens	
645591	LHFPL3 antisense RNA 1(LHFPL3-AS1)	Homo sapiens	
723809	LHFPL3 antisense RNA 2(LHFPL3-AS2)	Homo sapiens	
100506495	LIFR antisense RNA 1(LIFR-AS1)	Homo sapiens	
644714	LIMD1 antisense RNA 1(LIMD1-AS1)	Homo sapiens	
100996307	LIPE antisense RNA 1(LIPE-AS1)	Homo sapiens	
100288428	LMCD1 antisense RNA 1 (head to head)(LMCD1-AS1)	Homo sapiens	
100873939	LNX1 antisense RNA 1(LNX1-AS1)	Homo sapiens	
100287616	LOXL1 antisense RNA 1(LOXL1-AS1)	Homo sapiens	
100873917	LPP antisense RNA 1(LPP-AS1)	Homo sapiens	
339929	LPP antisense RNA 2(LPP-AS2)	Homo sapiens	
101926903	LSAMP antisense RNA 1(LSAMP-AS1)	Homo sapiens	
285780	LY86 antisense RNA 1(LY86-AS1)	Homo sapiens	
201229	LYR motif containing 9(LYRM9)	Homo sapiens	
100874051	LZTS1 antisense RNA 1(LZTS1-AS1)	Homo sapiens	
100874041	MACC1 antisense RNA 1(MACC1-AS1)	Homo sapiens	
100379174	MACROD2 antisense RNA 1(MACROD2-AS1)	Homo sapiens	
140848	MACROD2 intronic transcript 1(MACROD2-IT1)	Homo sapiens	
101410537	MAGEA8 antisense RNA 1 (head to head)(MAGEA8-AS1)	Homo sapiens	
100873983	MAGI1 antisense RNA 1(MAGI1-AS1)	Homo sapiens	
100874021	MAGI2 antisense RNA 2(MAGI2-AS2)	Homo sapiens	
100505881	MAGI2 antisense RNA 3(MAGI2-AS3)	Homo sapiens	
100507244	MAMDC2 antisense RNA 1(MAMDC2-AS1)	Homo sapiens	
401093	MBNL1 antisense RNA 1(MBNL1-AS1)	Homo sapiens	
728012	MCHR2 antisense RNA 1(MCHR2-AS1)	Homo sapiens	
101929423	MEF2C antisense RNA 1(MEF2C-AS1)	Homo sapiens	
730198	MEIS1 antisense RNA 3(MEIS1-AS3)	Homo sapiens	
100073347	MER1 repeat containing imprinted transcript 1 (non-protein coding)(MIMT1)	Homo sapiens	
317751	MEST intronic transcript 1, antisense RNA(MESTIT1)	Homo sapiens	
100874211	MID1IP1 antisense RNA 1(MID1IP1-AS1)	Homo sapiens	
102723167	MIR133A1 host gene(MIR133A1HG)	Homo sapiens	
400765	MIR137 host gene(MIR137HG)	Homo sapiens	
114614	MIR155 host gene(MIR155HG)	Homo sapiens	
100131234	MIR181A1 host gene(MIR181A1HG)	Homo sapiens	
100379345	MIR181A2 host gene(MIR181A2HG)	Homo sapiens	
554202	MIR31 host gene(MIR31HG)	Homo sapiens	
100505738	MIR4458 host gene(MIR4458HG)	Homo sapiens	
642345	MIR4500 host gene(MIR4500HG)	Homo sapiens	
283174	MIR4697 host gene(MIR4697HG)	Homo sapiens	
84848	MIR503 host gene(MIR503HG)	Homo sapiens	
81571	MIR600 host gene(MIR600HG)	Homo sapiens	
100874282	MLIP intronic transcript 1(MLIP-IT1)	Homo sapiens	
150291	MORC2 antisense RNA 1(MORC2-AS1)	Homo sapiens	
729633	MRS2 pseudogene 2(MRS2P2)	Homo sapiens	
100129827	MRVI1 antisense RNA 1(MRVI1-AS1)	Homo sapiens	
100874107	MTUS2 antisense RNA 1(MTUS2-AS1)	Homo sapiens	
100874212	MYCBP2 antisense RNA 1(MYCBP2-AS1)	Homo sapiens	
730811	MYT1L antisense RNA 1(MYT1L-AS1)	Homo sapiens	
7795	Methylation modifier for class I HLA(MEMO1)	Homo sapiens	
116828	N4BPL2 intronic transcript 2(N4BP2L2-IT2)	Homo sapiens	
100862679	NAALADL2 antisense RNA 3(NAALADL2-AS3)	Homo sapiens	
100885778	NALCN antisense RNA 1(NALCN-AS1)	Homo sapiens	
399876	NAV2 antisense RNA 4(NAV2-AS4)	Homo sapiens	
100874012	NAV2 antisense RNA 5(NAV2-AS5)	Homo sapiens	
100288346	NCAM1 antisense RNA1(NCAM1-AS1)	Homo sapiens	
100874208	NDFIP2 antisense RNA 1(NDFIP2-AS1)	Homo sapiens	
100128511	NEBL antisense RNA 1(NEBL-AS1)	Homo sapiens	
100852409	NEGR1 intronic transcript 1(NEGR1-IT1)	Homo sapiens	
100130557	NFYC antisense RNA 1(NFYC-AS1)	Homo sapiens	
494127	NFYC pseudogene(LOC494127)	Homo sapiens	
100506237	NKX2-1 antisense RNA 1(NKX2-1-AS1)	Homo sapiens	
100652772	NNT antisense RNA 1(NNT-AS1)	Homo sapiens	
348808	NPHP3 antisense RNA 1(NPHP3-AS1)	Homo sapiens	
100532724	NPHP3-ACAD11 readthrough (NMD candidate)(NPHP3-ACAD11)	Homo sapiens	
